"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1003.8","1005.0","2021/06/01 21:31:00","1002.8","2021/06/01 04:02:00","26.1","30.1","2021/06/01 15:53:00","23.4","2021/06/01 00:02:00","92","75","2021/06/01 15:42:00","0.4","132","5.6","199","2021/06/01 16:57:00","7.5","15.50"
"02","1004.1","1005.5","2021/06/02 22:34:00","1002.2","2021/06/02 15:11:00","27.9","31.2","2021/06/02 11:21:00","23.9","2021/06/02 03:10:00","87","74","2021/06/02 11:53:00","0.9","185","8.0","280","2021/06/02 10:03:00","0.0","23.80"
"03","1002.5","1004.7","2021/06/03 00:01:00","1000.4","2021/06/03 16:46:00","28.8","32.3","2021/06/03 12:31:00","25.0","2021/06/03 05:00:00","82","69","2021/06/03 08:17:00","1.2","277","9.7","291","2021/06/03 15:21:00","0.0","25.80"
"04","1000.3","1001.6","2021/06/04 00:02:00","998.9","2021/06/04 15:41:00","28.8","32.6","2021/06/04 08:52:00","25.6","2021/06/04 23:56:00","83","63","2021/06/04 08:15:00","1.2","280","8.3","284","2021/06/04 11:00:00","1.0","19.40"
"05","1000.1","1001.5","2021/06/05 22:23:00","998.9","2021/06/05 15:31:00","25.5","28.2","2021/06/05 10:52:00","23.3","2021/06/05 23:51:00","96","85","2021/06/05 11:01:00","1.1","332","7.0","360","2021/06/05 15:10:00","31.5","4.29"
"06","1002.4","1005.5","2021/06/06 22:03:00","999.8","2021/06/06 02:54:00","23.5","24.1","2021/06/06 15:14:00","22.8","2021/06/06 05:15:00","99","97","2021/06/06 07:15:00","0.5","31","4.5","39","2021/06/06 09:37:00","83.5","2.00"
"07","1005.9","1008.0","2021/06/07 23:03:00","1004.2","2021/06/07 03:04:00","26.0","30.3","2021/06/07 13:17:00","22.5","2021/06/07 05:11:00","88","71","2021/06/07 12:48:00","0.6","4","4.8","337","2021/06/07 12:58:00","0.5","15.30"
"08","1006.5","1007.9","2021/06/08 08:44:00","1004.9","2021/06/08 16:30:00","27.7","32.0","2021/06/08 15:20:00","23.4","2021/06/08 05:30:00","83","63","2021/06/08 16:30:00","1.1","5","7.9","52","2021/06/08 13:39:00","0.0","27.00"
"09","1005.0","1006.8","2021/06/10 00:00:00","1002.7","2021/06/09 17:23:00","27.6","31.1","2021/06/09 11:52:00","24.8","2021/06/09 04:10:00","83","68","2021/06/09 08:33:00","1.2","7","8.8","40","2021/06/09 13:25:00","0.0","23.69"
"10","1003.4","1004.8","2021/06/10 21:43:00","1001.3","2021/06/10 16:44:00","28.6","31.9","2021/06/10 13:12:00","25.4","2021/06/10 05:15:00","80","61","2021/06/10 13:30:00","1.2","8","6.1","341","2021/06/10 16:22:00","0.0","26.20"
"11","1004.1","1006.7","2021/06/11 22:15:00","1002.6","2021/06/11 15:57:00","28.6","31.7","2021/06/11 13:19:00","25.3","2021/06/11 05:15:00","78","61","2021/06/11 14:54:00","1.5","3","8.5","6","2021/06/11 13:05:00","0.0","24.40"
"12","1006.7","1008.6","2021/06/12 22:12:00","1005.2","2021/06/12 16:31:00","28.0","31.4","2021/06/12 11:52:00","25.1","2021/06/12 05:01:00","84","69","2021/06/12 11:07:00","0.7","340","6.2","324","2021/06/12 11:52:00","0.5","22.50"
"13","1006.0","1008.2","2021/06/13 08:21:00","1003.7","2021/06/13 17:11:00","28.8","31.8","2021/06/13 14:16:00","24.9","2021/06/13 04:51:00","81","71","2021/06/13 08:00:00","1.1","306","6.2","285","2021/06/13 12:19:00","0.0","25.19"
"14","1002.2","1005.0","2021/06/14 00:02:00","1000.2","2021/06/14 17:29:00","29.6","32.9","2021/06/14 10:35:00","27.0","2021/06/14 04:15:00","74","60","2021/06/14 10:37:00","1.3","211","8.7","285","2021/06/14 11:55:00","0.0","21.60"
"15","1000.0","1001.1","2021/06/15 08:03:00","998.8","2021/06/15 16:26:00","30.3","33.1","2021/06/15 16:09:00","27.5","2021/06/15 04:51:00","74","60","2021/06/15 16:11:00","1.5","215","11.0","283","2021/06/15 12:30:00","0.0","26.30"
"16","1002.2","1003.6","2021/06/16 09:10:00","999.0","2021/06/16 02:24:00","31.0","34.2","2021/06/16 14:27:00","27.8","2021/06/16 03:31:00","65","54","2021/06/16 20:25:00","1.6","162","9.4","152","2021/06/16 09:42:00","0.0","25.30"
"17","1002.7","1004.0","2021/06/17 07:43:00","1001.6","2021/06/17 17:37:00","30.8","35.0","2021/06/17 11:49:00","28.2","2021/06/17 04:10:00","70","52","2021/06/17 11:50:00","1.2","200","9.8","218","2021/06/17 09:03:00","0.0","27.09"
"18","1001.5","1003.3","2021/06/18 08:12:00","999.1","2021/06/18 17:53:00","31.1","34.7","2021/06/18 15:13:00","28.3","2021/06/18 02:11:00","68","52","2021/06/18 15:14:00","1.2","196","9.5","204","2021/06/18 09:13:00","0.0","24.00"
"19","999.4","1001.1","2021/06/20 00:00:00","997.2","2021/06/19 16:22:00","30.8","34.1","2021/06/19 13:17:00","28.8","2021/06/19 03:40:00","68","57","2021/06/19 14:51:00","1.5","190","11.7","211","2021/06/19 09:40:00","0.0","23.50"
"20","998.1","999.4","2021/06/20 10:54:00","996.0","2021/06/20 17:24:00","30.8","33.4","2021/06/20 12:17:00","28.9","2021/06/20 04:30:00","69","58","2021/06/20 11:22:00","1.4","183","9.4","164","2021/06/20 15:10:00","0.0","22.70"
"21","998.9","1001.5","2021/06/21 23:23:00","997.4","2021/06/21 16:28:00","28.1","29.8","2021/06/21 15:15:00","25.0","2021/06/21 05:15:00","81","70","2021/06/21 15:01:00","1.1","197","7.6","172","2021/06/21 04:58:00","10.0","7.29"
"22","1000.8","1002.8","2021/06/22 22:27:00","998.0","2021/06/22 01:52:00","26.3","30.5","2021/06/22 09:17:00","24.2","2021/06/22 23:00:00","89","69","2021/06/22 09:19:00","0.6","232","7.6","289","2021/06/22 12:53:00","25.0","5.80"
"23","1003.2","1004.9","2021/06/23 22:42:00","1001.3","2021/06/23 02:44:00","25.4","28.7","2021/06/23 11:00:00","21.1","2021/06/23 03:51:00","94","81","2021/06/23 10:21:00","0.5","42","5.0","44","2021/06/23 17:14:00","5.0","6.99"
"24","1003.5","1004.6","2021/06/24 22:06:00","1002.6","2021/06/24 03:00:00","25.1","28.2","2021/06/24 12:05:00","23.5","2021/06/24 23:31:00","94","79","2021/06/24 12:11:00","0.6","4","4.8","292","2021/06/24 13:08:00","5.0","5.50"
"25","1003.1","1004.3","2021/06/25 22:03:00","1001.7","2021/06/25 16:12:00","25.7","28.8","2021/06/25 09:46:00","23.4","2021/06/25 04:01:00","93","76","2021/06/25 11:29:00","0.5","24","4.1","40","2021/06/25 15:26:00","41.5","6.10"
"26","1003.6","1004.8","2021/06/26 09:41:00","1001.9","2021/06/26 03:50:00","29.1","32.1","2021/06/26 12:36:00","24.1","2021/06/26 02:21:00","73","63","2021/06/26 12:14:00","1.2","192","8.5","217","2021/06/26 15:58:00","0.0","21.30"
"27","1001.8","1004.2","2021/06/27 00:05:00","999.6","2021/06/27 16:49:00","29.3","33.2","2021/06/27 11:28:00","27.6","2021/06/27 01:01:00","71","56","2021/06/27 16:48:00","1.2","184","8.0","291","2021/06/27 12:25:00","0.0","9.50"
"28","1000.9","1002.7","2021/06/28 07:49:00","999.4","2021/06/28 16:18:00","28.7","33.1","2021/06/28 13:27:00","24.7","2021/06/28 08:45:00","77","59","2021/06/28 15:28:00","1.5","186","8.7","169","2021/06/28 15:06:00","18.5","17.69"
"29","1001.7","1002.7","2021/06/29 06:55:00","1000.6","2021/06/29 00:42:00","28.9","33.0","2021/06/29 13:06:00","25.5","2021/06/29 07:11:00","75","62","2021/06/29 13:15:00","1.5","171","12.0","174","2021/06/29 16:01:00","1.0","16.19"
"30","1002.2","1003.4","2021/06/30 08:42:00","1001.0","2021/06/30 16:54:00","29.7","32.7","2021/06/30 15:10:00","28.0","2021/06/30 02:20:00","73","62","2021/06/30 15:01:00","1.2","239","10.3","226","2021/06/30 12:41:00","0.0","20.20"
