"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1015.6","1017.9","2021/02/01 09:35:00","1014.0","2021/02/01 18:27:00","14.0","20.5","2021/02/01 15:03:00","9.7","2021/02/01 06:51:00","81","48","2021/02/01 15:09:00","0.5","278","3.8","243","2021/02/01 10:55:00","0.0","--"
"02","1016.7","1018.4","2021/02/02 09:25:00","1015.0","2021/02/02 14:20:00","16.0","22.9","2021/02/02 13:22:00","9.6","2021/02/02 03:51:00","74","57","2021/02/02 13:22:00","3.3","34","14.1","48","2021/02/02 16:05:00","0.0","14.50"
"03","1017.3","1019.1","2021/02/03 09:01:00","1015.2","2021/02/03 13:48:00","17.2","24.0","2021/02/03 14:15:00","12.0","2021/02/03 06:50:00","72","47","2021/02/03 13:30:00","1.3","44","9.2","354","2021/02/03 14:53:00","0.0","17.30"
"04","1017.0","1019.1","2021/02/04 09:29:00","1014.7","2021/02/04 15:29:00","16.5","23.4","2021/02/04 15:57:00","10.9","2021/02/04 05:00:00","80","55","2021/02/04 15:57:00","1.3","12","10.3","36","2021/02/04 15:11:00","0.0","18.10"
"05","1015.2","1017.0","2021/02/05 08:35:00","1013.9","2021/02/05 15:23:00","15.8","22.9","2021/02/05 11:32:00","11.1","2021/02/05 06:15:00","86","56","2021/02/05 11:32:00","0.7","342","5.3","359","2021/02/05 14:23:00","0.0","17.60"
"06","1014.1","1016.1","2021/02/06 09:20:00","1012.7","2021/02/06 14:24:00","16.0","21.6","2021/02/06 14:10:00","11.8","2021/02/06 04:21:00","88","64","2021/02/06 14:14:00","0.7","341","6.1","353","2021/02/06 11:04:00","0.0","17.40"
"07","1014.1","1016.1","2021/02/07 09:26:00","1012.3","2021/02/07 15:42:00","16.2","20.5","2021/02/07 13:48:00","13.5","2021/02/07 23:31:00","93","77","2021/02/07 13:21:00","0.8","152","5.2","350","2021/02/07 14:21:00","0.0","14.60"
"08","1015.1","1017.0","2021/02/08 22:34:00","1013.4","2021/02/08 04:22:00","17.9","23.3","2021/02/08 13:44:00","12.6","2021/02/08 06:18:00","79","59","2021/02/08 13:41:00","2.5","41","13.6","33","2021/02/08 16:49:00","0.0","10.20"
"09","1014.3","1016.6","2021/02/09 01:32:00","1012.0","2021/02/09 23:44:00","18.6","22.9","2021/02/09 12:35:00","15.3","2021/02/10 00:00:00","68","54","2021/02/09 12:35:00","3.3","38","11.2","45","2021/02/09 15:22:00","0.0","16.50"
"10","1009.6","1013.1","2021/02/10 00:07:00","1006.6","2021/02/10 15:39:00","17.7","22.9","2021/02/10 11:27:00","13.7","2021/02/10 06:51:00","86","67","2021/02/10 11:27:00","0.6","290","4.6","288","2021/02/10 12:07:00","11.0","13.50"
"11","1007.7","1010.4","2021/02/11 22:37:00","1005.4","2021/02/11 01:46:00","16.5","18.9","2021/02/11 12:07:00","14.6","2021/02/11 20:15:00","98","91","2021/02/11 12:10:00","1.9","30","11.6","16","2021/02/11 18:10:00","36.0","3.80"
"12","1010.0","1011.8","2021/02/12 23:59:00","1007.8","2021/02/12 04:57:00","17.3","19.1","2021/02/12 23:15:00","15.7","2021/02/12 01:00:00","94","80","2021/02/12 23:14:00","3.9","20","11.1","9","2021/02/12 14:40:00","2.0","9.10"
"13","1011.9","1013.9","2021/02/13 09:19:00","1010.1","2021/02/13 14:44:00","19.0","22.3","2021/02/13 14:14:00","17.2","2021/02/13 07:01:00","87","74","2021/02/13 15:28:00","3.0","21","10.2","12","2021/02/13 13:23:00","0.0","14.40"
"14","1010.7","1012.7","2021/02/14 09:23:00","1009.4","2021/02/14 15:08:00","17.1","20.7","2021/02/14 11:48:00","13.3","2021/02/14 23:50:00","92","79","2021/02/14 11:39:00","1.1","356","6.7","349","2021/02/14 12:48:00","0.0","9.40"
"15","1011.0","1012.5","2021/02/15 09:16:00","1009.6","2021/02/15 15:26:00","17.5","23.3","2021/02/15 11:21:00","12.4","2021/02/15 05:21:00","79","53","2021/02/15 11:01:00","2.1","23","10.4","6","2021/02/15 14:55:00","0.0","20.59"
"16","1012.1","1014.6","2021/02/16 23:58:00","1010.2","2021/02/16 14:16:00","17.8","22.7","2021/02/16 12:43:00","13.7","2021/02/16 00:50:00","84","60","2021/02/16 12:43:00","1.1","2","4.9","296","2021/02/16 11:36:00","0.0","18.90"
"17","1017.2","1019.5","2021/02/17 09:33:00","1014.6","2021/02/18 00:00:00","16.1","19.1","2021/02/17 12:47:00","14.0","2021/02/17 09:04:00","69","53","2021/02/17 16:16:00","3.9","45","13.9","50","2021/02/17 20:18:00","0.0","14.90"
"18","1021.1","1023.5","2021/02/18 09:13:00","1018.9","2021/02/18 00:54:00","14.9","18.5","2021/02/18 12:20:00","12.9","2021/02/18 21:10:00","49","35","2021/02/18 23:33:00","4.6","43","13.6","41","2021/02/18 09:40:00","0.0","21.00"
"19","1018.9","1021.4","2021/02/19 09:43:00","1016.7","2021/02/19 15:29:00","14.6","20.5","2021/02/19 11:42:00","8.8","2021/02/19 06:50:00","61","36","2021/02/19 00:06:00","1.6","45","8.0","2","2021/02/19 14:36:00","0.0","18.69"
"20","1016.4","1018.3","2021/02/20 09:20:00","1014.9","2021/02/20 16:11:00","14.2","19.7","2021/02/20 12:52:00","8.9","2021/02/20 06:01:00","83","59","2021/02/20 09:49:00","0.8","341","6.0","9","2021/02/20 13:26:00","0.0","20.10"
"21","1014.2","1016.5","2021/02/21 09:53:00","1012.6","2021/02/21 18:17:00","15.9","22.2","2021/02/21 12:02:00","10.3","2021/02/21 06:50:00","70","39","2021/02/21 12:08:00","0.6","116","4.5","270","2021/02/21 13:58:00","0.0","19.80"
"22","1012.5","1013.9","2021/02/22 00:16:00","1010.6","2021/02/22 15:06:00","18.2","25.0","2021/02/22 12:17:00","12.0","2021/02/22 03:51:00","63","42","2021/02/22 10:04:00","0.8","34","5.0","278","2021/02/22 12:33:00","0.0","21.00"
"23","1011.1","1013.3","2021/02/23 00:01:00","1008.9","2021/02/23 15:34:00","17.9","22.6","2021/02/23 10:18:00","12.7","2021/02/23 04:57:00","85","67","2021/02/23 09:46:00","2.8","22","12.8","12","2021/02/23 16:30:00","0.0","19.50"
"24","1009.6","1012.0","2021/02/24 09:22:00","1007.2","2021/02/24 17:14:00","18.0","19.7","2021/02/24 14:50:00","16.4","2021/02/24 06:15:00","91","82","2021/02/24 10:33:00","2.0","26","8.2","353","2021/02/24 10:58:00","0.0","14.70"
"25","1007.1","1008.6","2021/02/25 00:07:00","1005.3","2021/02/25 14:28:00","17.6","21.4","2021/02/25 10:10:00","16.0","2021/02/25 20:15:00","94","80","2021/02/25 14:24:00","0.8","15","6.5","272","2021/02/25 10:26:00","0.0","12.09"
"26","1006.8","1009.7","2021/02/26 23:58:00","1004.8","2021/02/26 15:15:00","17.7","22.9","2021/02/26 12:01:00","14.2","2021/02/26 04:01:00","91","74","2021/02/26 12:07:00","2.1","16","8.1","43","2021/02/26 21:56:00","0.0","13.10"
"27","1011.7","1013.5","2021/02/27 22:28:00","1009.2","2021/02/27 02:49:00","15.5","16.2","2021/02/27 00:01:00","14.2","2021/02/27 00:01:00","92","86","2021/02/27 23:59:00","2.8","28","7.6","41","2021/02/27 02:12:00","0.5","2.40"
"28","1012.7","1014.8","2021/02/28 09:51:00","1010.5","2021/02/28 14:57:00","16.7","21.3","2021/02/28 14:54:00","14.6","2021/02/28 22:51:00","86","70","2021/02/28 14:54:00","1.9","33","7.9","40","2021/02/28 12:58:00","0.0","9.90"
