,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CanESM5,CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-ESM4,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1
15751,20.3993,21.7157,18.2581,20.4385,21.9588,21.3392,21.2172,23.0561,16.7375,15.4901,17.4491,20.3952,22.0112,13.8425,18.2699,16.8059,19.7213,21.8869,18.3213,22.7209,21.6539,18.8101,20.7135,22.896
15752,21.4719,22.8016,20.4305,23.1091,22.818,18.6116,21.5128,24.3513,16.6054,15.7309,17.3438,18.4469,20.1808,14.8146,16.323,20.4681,18.3287,22.5542,20.1184,23.9447,23.5541,15.3149,21.1897,21.1966
15753,22.0402,22.2009,21.0539,22.657,24.1868,21.4733,19.9199,24.2359,16.7346,16.9658,18.9236,19.1779,20.5564,16.2239,15.3193,22.166,18.323,23.7407,23.9353,24.0849,21.0064,13.0188,21.4273,19.9165
15754,19.8294,18.0061,19.5285,21.3403,24.7981,22.9423,19.7006,24.082,18.0419,19.0898,20.1582,20.0299,21.6589,16.886,17.2539,23.8037,20.6464,24.2547,24.5947,23.084,15.0482,11.2026,22.5027,20.1616
15755,19.5016,18.086,19.9348,23.6116,25.0558,22.9296,21.0356,21.4134,18.6882,19.8824,18.531,21.015,22.4399,17.9436,18.9311,21.7203,22.1331,24.1039,25.1001,17.2016,16.9628,11.0235,23.6257,17.5605
15756,19.0429,20.4586,20.9118,25.0619,23.9982,22.6317,21.8453,21.6455,20.1354,20.2735,17.0861,22.69,23.2656,17.1912,15.5941,20.2884,22.1227,25.183,23.5578,15.1678,19.5157,10.3071,25.3766,18.4253
15757,16.2828,22.1544,20.138,20.8398,22.8922,18.4495,22.508,21.2647,19.7214,18.3964,13.0852,23.1454,22.2906,17.4101,12.7522,21.7439,16.7568,23.5437,23.034,16.835,22.222,9.582,25.0896,19.1423
15758,17.9201,22.7407,20.3181,23.0821,23.8775,17.5107,22.5475,21.3862,20.595,18.2842,13.3362,22.28,19.9566,18.6939,16.4632,21.4664,16.5621,23.43,24.0661,18.7647,23.5283,10.5689,19.5301,18.8224
15759,19.79,22.3205,18.3756,24.1052,21.0287,19.5113,24.6848,21.8311,20.3067,19.5914,11.7899,21.987,22.0975,21.4117,19.2221,22.0997,16.8261,23.3316,24.0441,19.598,23.5859,13.5935,15.7124,17.1603
15760,21.3339,22.8391,16.5797,25.4766,18.9135,20.3926,24.674,22.1019,22.6573,20.9342,16.7679,21.8793,22.455,23.0445,21.5659,22.2328,17.9123,23.695,25.1013,19.3787,22.9586,13.8789,17.7496,18.7566
15761,23.1959,24.4329,17.8015,25.6364,19.5126,20.7643,26.4528,23.1207,22.6879,20.9123,18.9651,22.0888,24.0293,17.8659,22.7241,22.868,21.2038,24.2538,25.2455,18.4108,22.3265,13.9612,20.6868,20.6494
15762,23.2662,23.0086,18.5769,21.6293,21.4067,21.8833,26.0975,23.5437,21.9119,18.4639,20.2301,22.8362,22.0669,16.0311,24.1565,23.9319,21.542,25.1131,22.9891,15.9893,22.0451,16.4349,22.3258,21.5995
15763,24.5048,19.6337,20.3519,23.262,23.5748,22.2501,26.6497,23.9589,23.0584,19.4862,21.5628,24.6398,22.819,17.9308,24.7257,20.5077,18.4106,22.0289,17.7893,16.652,23.6767,18.4583,23.1338,18.5766
15764,24.5799,17.6656,21.248,26.8244,24.458,24.0897,26.2294,25.1624,22.9657,21.3817,19.8549,25.0939,23.0488,20.2287,24.2925,20.038,19.2815,22.4938,16.1313,18.6403,22.0042,19.3639,23.3535,19.8558
15765,26.1951,18.046,21.2965,24.4612,23.6498,23.9856,27.3872,26.1234,23.6926,22.5386,19.191,23.6768,25.3064,22.1616,20.9605,19.1805,21.3115,24.1286,19.2852,20.0225,20.6684,19.6494,22.9301,22.1644
15766,22.5921,20.6857,20.7384,17.517,22.6637,22.2791,27.8329,25.1318,22.5083,21.94,20.3435,21.5295,23.9814,22.8341,19.8065,20.5762,22.8529,24.524,22.0515,19.1256,22.0626,18.2045,22.9761,23.8204
15767,16.6705,23.4677,18.6097,17.3006,24.5813,23.9649,26.8406,25.5233,23.3472,22.3532,21.5187,21.9578,26.8794,22.8984,21.8926,21.0778,20.4069,23.6639,21.5753,21.1756,24.89,16.2659,24.3047,23.0995
15768,14.4769,25.3057,15.5306,18.7103,24.2188,25.2325,26.4423,22.7471,22.9007,23.6882,20.3784,22.503,24.9276,19.9728,23.518,20.0928,18.0589,24.7879,19.1643,22.2614,24.4877,17.8278,24.9569,23.949
15769,16.7118,25.7023,16.99,19.1681,23.9131,25.7176,25.256,24.1567,20.2254,21.5919,20.6788,24.3908,24.4624,19.3698,20.5599,21.2072,20.5989,25.6149,18.3522,23.1615,23.1625,15.1776,24.7661,24.9023
15770,18.8387,25.9142,18.8794,19.9173,23.9527,25.3017,24.2959,24.4016,19.4082,16.707,21.1882,24.2471,26.6935,22.3653,20.6089,19.1355,21.6869,25.8095,18.6964,22.4675,25.2778,15.1369,23.7377,25.4584
15771,21.0307,25.6238,20.7563,23.0441,24.3487,21.9232,23.6861,25.3385,21.4684,16.4729,21.7926,24.2522,25.3204,23.5398,22.5019,19.479,21.3484,25.7378,20.8098,22.587,25.4211,18.0802,23.6188,24.9204
15772,21.7131,25.8108,21.5028,23.3579,25.2418,19.3663,24.3633,24.4486,21.8193,19.9131,21.9121,26.6284,20.6636,24.6477,23.8154,22.0988,23.3665,25.3175,22.4058,23.4568,25.0146,19.506,23.5801,19.9118
15773,21.4862,26.315,22.0344,23.2099,25.3668,18.6801,25.3856,21.6965,21.4314,21.5878,22.0,25.4347,20.6274,26.2765,22.0241,22.0573,22.1462,26.8198,21.9189,24.9513,25.3981,20.6177,23.5782,21.1118
15774,23.0261,26.0707,21.4934,20.114,26.4007,20.1072,26.1927,22.8247,24.8784,20.9886,22.0066,22.5305,21.5067,25.6791,21.929,19.9603,20.1805,26.882,23.5379,21.9391,25.8163,21.9583,24.7484,23.254
15775,23.5691,25.921,22.521,21.4512,26.6809,23.2748,26.1774,22.5182,24.199,20.6395,22.5548,22.3728,22.4914,23.1473,25.318,18.4703,21.0344,26.4147,24.6916,18.4934,25.4461,20.1845,25.3784,24.7108
