date,GDP,平均每人所得,景氣指標,season,holiday,max_temp,min_temp,mean_temp,Max_SthPres,Min_StnPres,Min_RH,Mean_StnPres,Mean_RH,Mean_Precp,Mean_WD,Mean_WDGust,Mean_WS,Mean_WSGust,石化業該日最高用電量,金屬製造該日最高用電量,資訊電子該日最高用電量,綜合服務該日最高用電量,民生工業該日最高用電量,Mean_WS_log
2018/08/01,4597982,164958,24,0.5,0.0,0.95,0.9692307692307690,0.9787205043731290,0.00989104336931601,0.9946614011993560,0.5324675324675330,0.6359671577558660,0.024381071535984600,0.0003824823101931540,0.005053862173558680,0.0020343498890740600,0.4560143626570920,0.4168346774193550,0.8818823827172860,0.5643949539664490,0.7377236486190200,0.11214699601719600,0.9987714254814510,0.5746982417310660
2018/08/02,4597982,164958,24,0.5,0.0,0.9421052631578950,0.9346153846153850,0.9576533939829750,0.009697101342466710,0.9946614011993560,0.5064935064935070,0.6347944045158910,0.025221362418152500,0.061197169630904600,0.005339790800467510,0.002044964811532050,0.49012567324955100,0.45060483870967800,0.8845778813334780,0.5771194273947930,0.7316501917992160,0.1103638324002000,0.9872465077674530,0.6071684954830860
2018/08/03,4597982,164958,24,0.5,0.0,0.9473684210526320,0.9576923076923080,0.9276050637991870,0.00930921728876799,0.994807664180196,0.48051948051948100,0.6358082686072240,0.027222054994742700,0.05756358768406960,0.002971299545609300,0.0017626078741494800,0.3429084380610410,0.49949596774193600,0.8740549571405150,0.5949714887949690,0.7319331044370460,0.10922490036948600,0.9850790257134830,0.4591033682939170
2018/08/04,4597982,164958,24,0.5,1.0,0.931578947368421,0.9038461538461540,0.9249862033212360,0.010763782490138000,0.9951489444688220,0.5454545454545460,0.6382672673362050,0.02630173640951120,0.02868617326448650,0.002417128598610740,0.0010997059666479100,0.2351885098743270,0.3472782258064520,0.7531871451539670,0.5578293293655860,0.6885671445277010,0.08591585888295930,0.7178664313328370,0.33553434723239600
2018/08/05,4597982,164958,24,0.5,1.0,0.9263157894736840,0.9,0.928799103633961,0.011054695530412100,0.9954170932670270,0.5844155844155850,0.6394778513258570,0.025861584042661400,0.026582520558424200,0.000888736917659925,0.0011490653560775700,0.2118491921005390,0.3235887096774190,0.6917463822114000,0.49868272897484200,0.67348155240506,0.08265561494503760,0.5637912220032300,0.3066986536656950
2018/08/06,4597982,164958,24,0.5,0.0,0.9552631578947370,0.9115384615384620,0.9377928658628350,0.010666811476713300,0.9948807956706160,0.5974025974025980,0.5623939157847700,0.022540434365521500,0.03270223752151460,0.0032837576327467900,0.0012557453267803900,0.23159784560143600,0.3049395161290320,0.8598502954875440,0.5763166389532850,0.7320014608280680,0.1093353727223670,0.9716305815165930,0.331150057597944
2018/08/07,4597982,164958,24,0.5,0.0,0.9526315789473690,0.9653846153846160,0.9484188169975080,0.009503159315617290,0.9947345326897760,0.5194805194805200,0.6368145665486230,0.024100974575261900,0.03193727290112830,0.0019189642898726700,0.0008741388644155950,0.3177737881508080,0.34324596774193600,0.8644468831972340,0.6040010692728640,0.7289846561104960,0.11015112418751000,0.9910547483868190,0.4315624433534780
2018/08/08,4597982,164958,24,0.5,0.0,0.9236842105263160,0.9307692307692310,0.9437128952957500,0.010278927423014600,0.9949783043245090,0.5714285714285720,0.6373139324443540,0.02394091916913470,0.03748326639892910,0.0019484414679045100,0.0013778169350472900,0.296229802513465,0.32762096774193600,0.8770166515782440,0.6174695183620410,0.7265722895217870,0.10954243385197300,0.9911026609518380,0.4073580459409300
2018/08/09,4597982,164958,24,0.5,0.0,0.9105263157894740,0.9307692307692310,0.9361807448534200,0.010084985396165300,0.9950514358149290,0.5194805194805200,0.6377905998902790,0.024341057684452800,0.011474469305794600,0.002349331089137510,0.0016171834364750000,0.2208258527827650,0.2414314516129030,0.8766108490863900,0.5894628753268290,0.7262480540716380,0.10898602537560700,0.9835781378947270,0.3178846091588820
2018/08/10,4597982,164958,24,0.5,0.0,0.9289473684210530,0.9230769230769230,0.93988327173604,0.009600130329042060,0.9945882697089370,0.49350649350649400,0.6359520254559950,0.02470118234823900,0.0214190093708166,0.0028298090910564800,0.0016394747736367800,0.24236983842010800,0.24747983870967800,0.8704842624728840,0.6207108650212380,0.7273027074969990,0.10759280988434700,0.9726355031248110,0.3442475844550090
