"觀測時間(day)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","最小相對溼度(%)","最小相對溼度時間(LST)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","T Max","T Max Time","T Min","T Min Time","RHMin","RHMinTime","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","999.8","2022/06/01 01:05:00","995.3","2022/06/01 16:13:00","30.3","2022/06/01 11:50:00","24.0","2022/06/01 05:29:00","75","2022/06/01 11:41:00","10.7","213","2022/06/01 15:55:00","0.0","28.00"
"02","998.6","2022/06/02 23:02:00","995.3","2022/06/02 14:18:00","31.1","2022/06/02 11:59:00","25.8","2022/06/02 22:31:00","67","2022/06/02 11:31:00","9.8","220","2022/06/02 15:25:00","0.0","23.20"
"03","999.2","2022/06/03 22:45:00","996.5","2022/06/03 14:37:00","30.4","2022/06/03 11:03:00","25.4","2022/06/04 00:00:00","69","2022/06/03 10:00:00","10.6","214","2022/06/03 09:39:00","0.0","19.90"
"04","999.1","2022/06/04 08:45:00","995.8","2022/06/04 17:26:00","30.9","2022/06/04 13:18:00","24.8","2022/06/04 01:01:00","73","2022/06/04 12:12:00","9.8","213","2022/06/04 16:18:00","0.0","23.90"
"05","997.2","2022/06/05 00:01:00","991.7","2022/06/05 16:17:00","31.4","2022/06/05 11:33:00","26.4","2022/06/05 00:11:00","63","2022/06/05 09:35:00","14.8","216","2022/06/05 23:09:00","0.0","26.49"
"06","997.3","2022/06/06 22:55:00","990.9","2022/06/06 03:24:00","28.9","2022/06/06 07:55:00","22.0","2022/06/06 21:59:00","67","2022/06/06 02:07:00","15.3","218","2022/06/06 06:39:00","35.5","9.00"
"07","999.8","2022/06/07 22:16:00","995.5","2022/06/07 03:33:00","24.2","2022/06/07 11:08:00","20.3","2022/06/07 16:22:00","96","2022/06/07 15:49:00","3.6","21","2022/06/07 12:47:00","65.0","4.60"
"08","1000.9","2022/06/08 22:32:00","998.8","2022/06/08 15:34:00","23.4","2022/06/08 11:45:00","20.7","2022/06/08 19:51:00","99","2022/06/08 21:46:00","5.5","104","2022/06/08 16:24:00","58.5","4.60"
"09","1000.4","2022/06/09 11:22:00","998.1","2022/06/09 15:21:00","27.8","2022/06/09 14:06:00","20.9","2022/06/09 00:03:00","85","2022/06/09 14:17:00","5.0","146","2022/06/09 04:06:00","12.5","9.80"
"10","998.9","2022/06/10 00:01:00","995.7","2022/06/10 16:33:00","30.6","2022/06/10 13:49:00","23.5","2022/06/10 05:45:00","73","2022/06/10 12:20:00","7.5","211","2022/06/10 18:34:00","1.5","13.50"
"11","1001.5","2022/06/11 22:31:00","996.5","2022/06/11 04:08:00","29.7","2022/06/11 08:49:00","22.0","2022/06/11 19:56:00","71","2022/06/11 08:52:00","9.2","225","2022/06/11 11:44:00","5.0","12.90"
"12","1000.7","2022/06/12 09:31:00","998.4","2022/06/12 16:30:00","25.9","2022/06/12 14:07:00","21.8","2022/06/12 00:28:00","93","2022/06/12 16:20:00","4.0","106","2022/06/12 00:09:00","14.0","7.19"
"13","998.5","2022/06/13 00:02:00","995.1","2022/06/13 13:18:00","30.9","2022/06/13 13:25:00","22.9","2022/06/13 04:52:00","67","2022/06/13 12:52:00","11.7","228","2022/06/13 10:57:00","0.0","20.59"
"14","1001.4","2022/06/14 22:10:00","995.8","2022/06/14 04:18:00","31.1","2022/06/14 11:06:00","23.7","2022/06/14 22:46:00","59","2022/06/14 09:55:00","12.0","220","2022/06/14 09:00:00","0.0","23.69"
"15","1002.2","2022/06/15 22:57:00","998.2","2022/06/15 07:36:00","26.6","2022/06/15 11:28:00","23.2","2022/06/15 02:05:00","93","2022/06/15 11:36:00","8.6","295","2022/06/15 14:05:00","14.0","3.99"
"16","1003.1","2022/06/16 09:03:00","999.7","2022/06/16 14:45:00","28.1","2022/06/16 11:52:00","22.0","2022/06/16 08:51:00","79","2022/06/16 11:56:00","11.8","194","2022/06/16 07:52:00","6.5","10.09"
"17","1000.3","2022/06/17 22:08:00","998.4","2022/06/17 18:00:00","29.7","2022/06/17 10:49:00","24.0","2022/06/17 05:36:00","72","2022/06/17 10:51:00","9.5","218","2022/06/17 11:17:00","0.5","15.60"
"18","999.9","2022/06/18 22:20:00","997.4","2022/06/18 15:02:00","30.8","2022/06/18 12:51:00","23.9","2022/06/18 04:51:00","67","2022/06/18 13:34:00","9.9","220","2022/06/18 14:34:00","0.0","24.60"
"19","999.2","2022/06/19 09:16:00","997.1","2022/06/19 15:11:00","31.1","2022/06/19 11:52:00","24.7","2022/06/19 05:04:00","67","2022/06/19 13:02:00","9.4","214","2022/06/19 15:11:00","0.0","26.20"
"20","998.0","2022/06/20 00:02:00","995.0","2022/06/20 15:44:00","30.8","2022/06/20 12:30:00","23.9","2022/06/20 04:02:00","66","2022/06/20 11:11:00","12.2","206","2022/06/20 09:47:00","0.0","27.50"
"21","1000.1","2022/06/21 22:38:00","995.1","2022/06/21 02:02:00","31.0","2022/06/21 11:08:00","25.1","2022/06/21 01:45:00","71","2022/06/21 11:15:00","6.6","213","2022/06/21 09:01:00","0.0","22.00"
"22","1002.8","2022/06/22 21:57:00","998.9","2022/06/22 03:38:00","32.0","2022/06/22 14:15:00","23.5","2022/06/22 05:17:00","64","2022/06/22 12:20:00","7.9","223","2022/06/22 10:48:00","0.0","28.60"
"23","1003.0","2022/06/23 08:08:00","999.5","2022/06/23 14:42:00","31.5","2022/06/23 12:44:00","24.1","2022/06/23 05:26:00","73","2022/06/23 10:16:00","7.4","281","2022/06/23 12:52:00","0.0","24.70"
"24","1001.0","2022/06/24 07:45:00","998.5","2022/06/24 14:18:00","31.7","2022/06/24 10:49:00","24.0","2022/06/24 04:37:00","71","2022/06/24 12:16:00","8.0","281","2022/06/24 13:54:00","0.0","24.30"
"25","1001.1","2022/06/25 18:21:00","997.4","2022/06/25 03:20:00","32.6","2022/06/25 14:12:00","23.4","2022/06/25 20:20:00","64","2022/06/25 12:11:00","9.9","211","2022/06/25 18:28:00","3.5","23.49"
"26","1002.9","2022/06/26 09:04:00","999.7","2022/06/26 02:02:00","32.8","2022/06/26 11:00:00","23.5","2022/06/26 03:40:00","53","2022/06/26 10:40:00","5.7","290","2022/06/26 11:24:00","0.0","28.50"
"27","1001.8","2022/06/27 08:03:00","998.2","2022/06/28 00:00:00","32.8","2022/06/27 14:05:00","25.0","2022/06/27 04:59:00","54","2022/06/27 12:50:00","6.0","282","2022/06/27 12:23:00","0.0","27.09"
"28","998.6","2022/06/28 07:38:00","995.0","2022/06/28 23:35:00","32.4","2022/06/28 12:48:00","25.0","2022/06/28 05:15:00","65","2022/06/28 12:47:00","5.8","334","2022/06/28 13:25:00","0.0","23.30"
"29","997.6","2022/06/29 23:09:00","994.0","2022/06/29 16:21:00","31.9","2022/06/29 13:04:00","23.0","2022/06/29 19:17:00","67","2022/06/29 12:21:00","9.1","211","2022/06/29 18:28:00","0.0","21.09"
"30","997.2","2022/06/30 00:11:00","993.7","2022/06/30 17:06:00","32.7","2022/06/30 12:09:00","23.6","2022/06/30 03:58:00","62","2022/06/30 19:05:00","7.1","129","2022/06/30 20:12:00","0.0","19.20"
