"觀測時間(day)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","最小相對溼度(%)","最小相對溼度時間(LST)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","T Max","T Max Time","T Min","T Min Time","RHMin","RHMinTime","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1003.6","2021/09/01 09:13:00","1000.7","2021/09/01 17:38:00","33.9","2021/09/01 11:31:00","24.7","2021/09/01 03:45:00","64","2021/09/01 14:17:00","5.4","279","2021/09/01 11:58:00","0.0","23.00"
"02","1002.9","2021/09/02 00:06:00","999.0","2021/09/02 17:04:00","34.5","2021/09/02 11:31:00","25.6","2021/09/02 03:07:00","60","2021/09/02 11:31:00","6.2","314","2021/09/02 13:49:00","0.0","23.40"
"03","1001.2","2021/09/03 00:36:00","998.0","2021/09/03 16:06:00","33.6","2021/09/03 10:36:00","25.4","2021/09/03 22:38:00","60","2021/09/03 10:34:00","6.5","277","2021/09/03 11:11:00","0.0","26.10"
"04","1002.6","2021/09/04 21:47:00","1000.2","2021/09/04 03:55:00","32.8","2021/09/04 09:14:00","25.1","2021/09/04 23:50:00","61","2021/09/04 09:10:00","5.6","315","2021/09/04 11:15:00","0.0","17.09"
"05","1003.1","2021/09/05 22:28:00","999.5","2021/09/05 15:41:00","34.9","2021/09/05 12:35:00","24.4","2021/09/05 00:32:00","60","2021/09/05 16:14:00","6.4","276","2021/09/05 13:59:00","0.0","21.90"
"06","1004.2","2021/09/06 20:35:00","1001.8","2021/09/06 14:06:00","34.8","2021/09/06 13:35:00","25.5","2021/09/06 05:36:00","58","2021/09/06 14:49:00","7.3","285","2021/09/06 13:20:00","0.0","23.59"
"07","1004.0","2021/09/07 00:14:00","999.8","2021/09/07 17:10:00","35.3","2021/09/07 12:51:00","25.6","2021/09/07 00:29:00","62","2021/09/07 11:05:00","5.6","314","2021/09/07 11:21:00","0.0","25.80"
"08","1002.1","2021/09/08 00:07:00","999.4","2021/09/08 16:39:00","34.4","2021/09/08 12:31:00","26.5","2021/09/08 05:44:00","55","2021/09/08 17:43:00","7.1","108","2021/09/08 20:19:00","0.0","20.20"
"09","1002.1","2021/09/09 09:55:00","999.7","2021/09/09 16:55:00","35.6","2021/09/09 12:24:00","26.1","2021/09/09 05:30:00","53","2021/09/09 16:14:00","5.6","24","2021/09/09 13:52:00","0.0","25.00"
"10","1001.3","2021/09/10 08:47:00","997.1","2021/09/10 17:02:00","37.4","2021/09/10 15:22:00","26.1","2021/09/10 02:39:00","49","2021/09/10 15:21:00","8.7","100","2021/09/10 21:16:00","0.0","26.50"
"11","998.0","2021/09/11 00:09:00","987.9","2021/09/11 23:59:00","36.9","2021/09/11 11:54:00","27.3","2021/09/11 05:56:00","52","2021/09/11 12:29:00","12.8","107","2021/09/11 18:18:00","0.0","19.59"
"12","994.3","2021/09/12 21:30:00","985.8","2021/09/12 05:38:00","28.9","2021/09/12 00:41:00","24.9","2021/09/12 16:48:00","67","2021/09/12 00:37:00","10.6","23","2021/09/12 11:03:00","13.5","7.20"
"13","1001.4","2021/09/13 23:51:00","993.6","2021/09/13 02:38:00","33.4","2021/09/13 13:33:00","25.7","2021/09/13 02:10:00","63","2021/09/13 13:35:00","11.2","208","2021/09/13 14:31:00","0.0","25.79"
"14","1004.1","2021/09/14 23:26:00","1001.0","2021/09/14 03:35:00","34.2","2021/09/14 12:49:00","26.5","2021/09/14 21:33:00","60","2021/09/14 12:50:00","8.9","222","2021/09/14 12:23:00","0.0","24.60"
