"觀測時間(day)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","最小相對溼度(%)","最小相對溼度時間(LST)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","T Max","T Max Time","T Min","T Min Time","RHMin","RHMinTime","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1005.3","2021/05/01 23:52:00","1001.3","2021/05/01 02:51:00","28.5","2021/05/01 11:22:00","20.3","2021/05/01 23:37:00","57","2021/05/01 11:34:00","8.1","224","2021/05/01 13:53:00","0.0","20.90"
"02","1007.7","2021/05/02 10:26:00","1004.2","2021/05/02 03:17:00","29.1","2021/05/02 12:04:00","20.7","2021/05/03 00:00:00","65","2021/05/02 08:59:00","7.4","17","2021/05/02 16:31:00","0.0","25.00"
"03","1006.8","2021/05/03 09:35:00","1004.0","2021/05/03 16:50:00","30.9","2021/05/03 12:20:00","22.5","2021/05/03 23:49:00","49","2021/05/03 11:56:00","4.7","295","2021/05/03 14:21:00","0.0","13.40"
"04","1004.6","2021/05/04 07:17:00","1000.8","2021/05/04 15:20:00","30.7","2021/05/04 12:20:00","22.3","2021/05/04 03:04:00","58","2021/05/04 12:00:00","6.3","219","2021/05/04 13:23:00","0.0","22.69"
"05","1008.6","2021/05/05 21:47:00","1002.6","2021/05/05 04:06:00","26.7","2021/05/05 00:24:00","18.8","2021/05/05 21:44:00","72","2021/05/05 16:27:00","9.9","14","2021/05/05 09:00:00","1.5","5.50"
"06","1008.3","2021/05/06 09:02:00","1005.3","2021/05/06 16:26:00","27.4","2021/05/06 13:37:00","19.5","2021/05/06 00:01:00","74","2021/05/06 13:21:00","6.6","18","2021/05/06 11:00:00","0.0","17.90"
"07","1005.9","2021/05/07 09:40:00","1001.6","2021/05/07 17:00:00","29.8","2021/05/07 14:00:00","21.8","2021/05/07 05:03:00","70","2021/05/07 10:16:00","9.7","222","2021/05/07 12:31:00","0.0","26.09"
"08","1002.7","2021/05/08 05:38:00","1000.4","2021/05/08 15:03:00","27.4","2021/05/08 09:27:00","22.5","2021/05/08 21:38:00","82","2021/05/08 12:33:00","7.1","286","2021/05/08 12:16:00","1.0","7.70"
"09","1003.1","2021/05/09 10:10:00","999.4","2021/05/09 16:33:00","29.7","2021/05/09 12:31:00","22.8","2021/05/09 05:09:00","69","2021/05/09 12:31:00","5.1","308","2021/05/09 13:30:00","0.0","17.30"
"10","1002.2","2021/05/10 10:38:00","998.5","2021/05/10 17:15:00","30.1","2021/05/10 12:53:00","23.0","2021/05/10 05:37:00","69","2021/05/10 09:28:00","7.5","218","2021/05/10 16:20:00","0.0","25.30"
"11","1001.1","2021/05/11 09:12:00","997.7","2021/05/11 17:18:00","30.9","2021/05/11 11:18:00","24.3","2021/05/11 00:23:00","67","2021/05/11 11:19:00","11.2","221","2021/05/11 09:18:00","0.0","25.10"
"12","1002.1","2021/05/12 22:36:00","998.1","2021/05/12 14:45:00","32.9","2021/05/12 11:25:00","24.3","2021/05/12 05:20:00","59","2021/05/12 11:31:00","11.8","230","2021/05/12 13:17:00","0.0","26.49"
"13","1002.5","2021/05/13 09:04:00","999.1","2021/05/13 16:54:00","32.6","2021/05/13 12:58:00","24.1","2021/05/13 05:30:00","62","2021/05/13 13:16:00","6.5","221","2021/05/13 11:36:00","0.0","25.30"
"14","1003.2","2021/05/14 08:04:00","1000.0","2021/05/14 16:48:00","32.3","2021/05/14 12:21:00","23.9","2021/05/14 05:02:00","64","2021/05/14 14:14:00","8.0","227","2021/05/14 15:05:00","0.0","24.99"
"15","1003.0","2021/05/15 09:05:00","999.0","2021/05/15 17:21:00","32.7","2021/05/15 11:52:00","24.8","2021/05/15 04:12:00","68","2021/05/15 11:54:00","8.5","223","2021/05/15 13:58:00","0.0","27.40"
"16","1001.6","2021/05/16 08:42:00","998.7","2021/05/16 16:16:00","33.5","2021/05/16 10:57:00","25.4","2021/05/16 04:15:00","63","2021/05/16 10:32:00","12.1","218","2021/05/16 13:56:00","0.0","27.90"
"17","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","26.09"
"18","1003.2","2021/05/18 21:16:00","1000.5","2021/05/18 14:41:00","31.1","2021/05/18 14:47:00","25.7","2021/05/18 22:58:00","65","2021/05/18 16:10:00","5.0","271","2021/05/18 14:35:00","0.0","13.29"
"19","1002.5","2021/05/19 08:01:00","999.1","2021/05/19 16:10:00","31.8","2021/05/19 11:18:00","24.2","2021/05/19 04:33:00","69","2021/05/19 11:18:00","7.4","280","2021/05/19 13:20:00","0.0","21.20"
"20","1001.8","2021/05/20 09:47:00","999.1","2021/05/20 13:26:00","32.6","2021/05/20 12:59:00","25.0","2021/05/20 23:13:00","60","2021/05/20 10:44:00","11.2","215","2021/05/20 14:22:00","0.0","22.00"
"21","1001.4","2021/05/21 22:13:00","998.5","2021/05/21 15:58:00","32.9","2021/05/21 10:19:00","24.8","2021/05/21 01:18:00","57","2021/05/21 11:51:00","10.7","220","2021/05/21 12:16:00","0.5","23.09"
"22","1001.7","2021/05/22 22:00:00","998.4","2021/05/22 14:02:00","32.8","2021/05/22 13:38:00","25.4","2021/05/22 19:42:00","60","2021/05/22 13:12:00","10.4","226","2021/05/22 08:52:00","0.0","18.10"
"23","1002.0","2021/05/23 22:33:00","999.5","2021/05/23 16:04:00","33.4","2021/05/23 11:22:00","24.4","2021/05/23 05:12:00","58","2021/05/23 11:49:00","6.6","293","2021/05/23 12:21:00","0.0","23.90"
"24","1005.0","2021/05/24 20:50:00","1000.4","2021/05/24 02:38:00","33.7","2021/05/24 11:47:00","24.3","2021/05/24 23:58:00","60","2021/05/24 12:05:00","9.1","286","2021/05/24 12:48:00","0.0","25.90"
"25","1005.2","2021/05/25 09:16:00","1001.5","2021/05/25 16:26:00","31.4","2021/05/25 14:12:00","23.5","2021/05/25 05:17:00","66","2021/05/25 13:04:00","7.3","13","2021/05/25 16:57:00","0.0","21.59"
"26","1003.0","2021/05/26 08:03:00","998.6","2021/05/26 17:20:00","32.5","2021/05/26 14:13:00","23.2","2021/05/26 02:46:00","61","2021/05/26 14:51:00","9.2","212","2021/05/26 13:45:00","0.0","22.60"
"27","1002.3","2021/05/27 21:48:00","998.3","2021/05/27 03:10:00","33.8","2021/05/27 09:50:00","27.0","2021/05/27 23:45:00","55","2021/05/27 09:45:00","11.2","219","2021/05/27 12:58:00","0.0","24.69"
"28","1002.4","2021/05/28 21:19:00","997.4","2021/05/28 14:42:00","34.1","2021/05/28 11:54:00","24.6","2021/05/28 23:21:00","59","2021/05/28 11:54:00","14.1","222","2021/05/28 12:32:00","0.5","24.19"
"29","1000.4","2021/05/29 00:03:00","996.1","2021/05/29 16:27:00","30.0","2021/05/29 11:39:00","24.4","2021/05/29 23:47:00","75","2021/05/29 11:41:00","7.8","190","2021/05/29 15:09:00","5.0","8.40"
"30","998.7","2021/05/30 21:37:00","995.3","2021/05/30 15:13:00","27.9","2021/05/30 09:48:00","24.2","2021/05/30 02:11:00","79","2021/05/30 09:50:00","5.9","337","2021/05/30 13:37:00","30.5","6.29"
"31","999.6","2021/05/31 21:56:00","996.3","2021/05/31 00:03:00","25.8","2021/05/31 09:55:00","22.8","2021/05/31 23:04:00","86","2021/05/31 10:01:00","4.8","23","2021/05/31 03:01:00","63.0","4.20"
