"觀測時間(day)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","最小相對溼度(%)","最小相對溼度時間(LST)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","T Max","T Max Time","T Min","T Min Time","RHMin","RHMinTime","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1000.8","2021/06/01 21:28:00","998.4","2021/06/01 03:23:00","31.6","2021/06/01 14:23:00","22.9","2021/06/01 00:03:00","68","2021/06/01 14:16:00","4.3","323","2021/06/01 12:10:00","0.0","20.40"
"02","1001.5","2021/06/02 22:37:00","998.3","2021/06/02 15:04:00","32.0","2021/06/02 12:31:00","24.7","2021/06/02 04:30:00","65","2021/06/02 12:52:00","7.7","219","2021/06/02 12:07:00","0.0","24.60"
"03","1000.4","2021/06/04 00:00:00","996.1","2021/06/03 16:31:00","33.0","2021/06/03 12:30:00","25.5","2021/06/03 05:03:00","66","2021/06/03 13:01:00","8.0","225","2021/06/03 16:31:00","0.0","25.70"
"04","997.5","2021/06/04 09:22:00","995.1","2021/06/04 15:01:00","31.0","2021/06/04 09:35:00","25.2","2021/06/04 23:20:00","77","2021/06/04 09:22:00","9.2","291","2021/06/04 12:35:00","0.0","13.70"
"05","998.0","2021/06/05 22:20:00","994.7","2021/06/05 03:49:00","26.8","2021/06/05 13:45:00","20.9","2021/06/05 23:01:00","88","2021/06/05 13:50:00","5.9","321","2021/06/05 15:35:00","39.5","4.69"
"06","1001.5","2021/06/06 21:42:00","995.9","2021/06/06 03:19:00","23.8","2021/06/06 06:59:00","21.1","2021/06/06 00:01:00","94","2021/06/06 07:11:00","5.0","22","2021/06/06 12:05:00","36.0","3.50"
"07","1003.7","2021/06/07 22:47:00","999.9","2021/06/07 02:17:00","30.3","2021/06/07 12:34:00","21.9","2021/06/07 04:16:00","72","2021/06/07 08:55:00","6.0","14","2021/06/07 13:04:00","26.0","22.60"
"08","1003.7","2021/06/08 08:06:00","1000.8","2021/06/08 16:55:00","31.6","2021/06/08 13:11:00","23.2","2021/06/08 04:29:00","66","2021/06/08 09:38:00","5.3","338","2021/06/08 14:39:00","0.5","25.70"
"09","1002.7","2021/06/09 09:19:00","998.5","2021/06/09 17:53:00","31.9","2021/06/09 09:59:00","24.0","2021/06/09 04:13:00","67","2021/06/09 11:18:00","5.8","21","2021/06/09 13:47:00","0.0","25.00"
"10","1000.6","2021/06/10 21:56:00","997.5","2021/06/10 16:53:00","33.2","2021/06/10 13:26:00","25.0","2021/06/10 02:16:00","58","2021/06/10 13:30:00","5.5","317","2021/06/10 13:16:00","0.0","26.10"
"11","1002.6","2021/06/11 22:18:00","998.8","2021/06/11 04:19:00","32.9","2021/06/11 15:14:00","24.4","2021/06/11 03:24:00","60","2021/06/11 15:33:00","5.6","6","2021/06/11 12:08:00","0.0","26.40"
"12","1004.4","2021/06/12 23:08:00","1001.0","2021/06/12 16:42:00","32.3","2021/06/12 12:23:00","25.8","2021/06/12 05:12:00","67","2021/06/12 10:11:00","6.1","287","2021/06/12 13:32:00","0.0","27.69"
"13","1004.0","2021/06/13 08:34:00","999.3","2021/06/13 16:35:00","32.7","2021/06/13 12:02:00","25.4","2021/06/13 05:34:00","65","2021/06/13 12:17:00","6.6","289","2021/06/13 09:32:00","0.0","22.40"
"14","1000.3","2021/06/15 00:00:00","995.4","2021/06/14 16:53:00","32.3","2021/06/14 10:58:00","27.1","2021/06/14 04:37:00","63","2021/06/14 10:49:00","10.5","213","2021/06/14 07:38:00","0.0","26.70"
"15","996.6","2021/06/15 10:45:00","994.2","2021/06/15 17:25:00","32.2","2021/06/15 14:33:00","27.2","2021/06/15 05:19:00","66","2021/06/15 15:14:00","12.3","216","2021/06/15 14:15:00","0.0","27.69"
"16","998.1","2021/06/16 10:42:00","994.3","2021/06/16 02:08:00","33.7","2021/06/16 14:14:00","27.4","2021/06/16 05:02:00","58","2021/06/16 20:32:00","14.7","222","2021/06/16 15:59:00","0.0","29.00"
"17","999.2","2021/06/17 09:38:00","996.4","2021/06/17 16:38:00","33.1","2021/06/17 12:11:00","27.6","2021/06/17 04:18:00","63","2021/06/17 13:09:00","14.1","227","2021/06/17 07:49:00","0.0","27.59"
"18","998.2","2021/06/18 00:11:00","994.3","2021/06/18 15:57:00","34.2","2021/06/18 13:24:00","27.7","2021/06/18 02:44:00","56","2021/06/18 13:26:00","13.0","221","2021/06/18 10:27:00","0.0","27.40"
"19","996.1","2021/06/20 00:00:00","992.0","2021/06/19 16:41:00","34.2","2021/06/19 14:57:00","28.2","2021/06/19 03:47:00","60","2021/06/19 15:08:00","13.2","226","2021/06/19 07:05:00","0.0","27.90"
"20","994.6","2021/06/20 22:07:00","991.2","2021/06/20 16:48:00","33.9","2021/06/20 12:17:00","28.4","2021/06/20 03:40:00","61","2021/06/20 12:18:00","13.1","219","2021/06/20 13:19:00","0.0","25.70"
"21","996.5","2021/06/21 22:46:00","992.4","2021/06/21 03:18:00","32.2","2021/06/21 12:29:00","25.8","2021/06/21 23:27:00","63","2021/06/21 09:24:00","15.3","227","2021/06/21 12:39:00","0.0","20.60"
"22","999.2","2021/06/22 22:14:00","994.2","2021/06/22 02:05:00","29.3","2021/06/22 09:05:00","24.0","2021/06/22 23:34:00","76","2021/06/22 10:08:00","10.9","221","2021/06/22 10:08:00","93.5","7.79"
"23","1001.3","2021/06/23 21:02:00","997.1","2021/06/23 03:22:00","29.3","2021/06/23 12:20:00","22.8","2021/06/23 19:10:00","76","2021/06/23 10:40:00","6.7","116","2021/06/23 18:33:00","6.5","8.20"
"24","1000.5","2021/06/24 21:13:00","998.1","2021/06/24 16:55:00","29.5","2021/06/24 10:29:00","23.4","2021/06/24 02:28:00","74","2021/06/24 10:03:00","4.0","19","2021/06/24 15:15:00","1.0","9.30"
"25","1000.3","2021/06/25 22:25:00","997.7","2021/06/25 16:26:00","29.9","2021/06/25 11:00:00","24.1","2021/06/25 00:49:00","73","2021/06/25 10:19:00","4.7","329","2021/06/25 10:44:00","5.5","9.80"
"26","1000.1","2021/06/26 08:42:00","997.4","2021/06/26 16:06:00","31.3","2021/06/26 14:16:00","24.4","2021/06/26 00:29:00","68","2021/06/26 14:25:00","11.0","219","2021/06/26 10:02:00","0.0","15.90"
"27","999.3","2021/06/28 00:00:00","995.2","2021/06/27 15:29:00","33.0","2021/06/27 15:35:00","26.9","2021/06/27 04:21:00","62","2021/06/27 17:02:00","12.0","215","2021/06/27 13:27:00","0.0","6.20"
"28","996.9","2021/06/28 07:52:00","994.3","2021/06/28 15:45:00","32.4","2021/06/28 12:09:00","25.9","2021/06/28 08:10:00","64","2021/06/28 16:04:00","13.7","221","2021/06/28 12:45:00","0.5","13.20"
"29","997.6","2021/06/29 19:54:00","995.3","2021/06/29 15:20:00","31.3","2021/06/29 13:49:00","27.7","2021/06/29 21:45:00","64","2021/06/29 15:25:00","13.1","219","2021/06/29 15:09:00","2.0","15.00"
"30","998.5","2021/06/30 10:25:00","996.1","2021/06/30 16:32:00","30.9","2021/06/30 13:33:00","27.5","2021/06/30 05:31:00","67","2021/06/30 15:24:00","14.0","213","2021/06/30 15:47:00","0.0","27.80"
