max_temp,min_temp,mean_temp,Max_SthPres,Min_StnPres,Min_RH,Mean_StnPres,Mean_RH,Mean_Precp,Mean_WD,Mean_WDGust,Mean_WS,Mean_WSGust,prosperity,GDP,Mean_WS_log,spring,summer,fall,winter,holiday,石化業該日最高用電量,金屬製造該日最高用電量,資訊電子該日最高用電量,綜合服務該日最高用電量,民生工業該日最高用電量
0.6736842105263158,0.5038461538461538,0.5578574175962002,0.027636738826030127,0.9981960899029789,0.5454545454545455,0.6603755574472236,0.024140988426793734,0.001912411550965768,0.0020250821307872917,0.001147473117708875,0.511669658886894,0.42993951612903264,0.16000000000000003,0.012820971958600325,0.627163142901546,0,0,0,1,0,0.6223107881800479,0.45666179194999085,0.584241901152078,0.06049417179683403,0.4779407532822108
0.6710526315789473,0.4653846153846154,0.6090706891650081,0.02841250693342745,0.9980498269221393,0.5324675324675325,0.5821113025162252,0.024381071535984573,0.001912411550965768,0.002445131917740987,0.0018443427770760135,0.28186714542190305,0.25100806451612917,0.16000000000000003,0.012820971958600325,0.3909013840352519,0,0,0,1,0,0.7890353411102405,0.5366616906825865,0.6409564629904861,0.07454539284377859,0.8368885266667226
0.6736842105263158,0.5230769230769231,0.6290215228188701,0.024824579436714678,0.9980742040856125,0.6103896103896104,0.5781016412689206,0.30195715961211606,0.00020130647904902812,0.010433447164369168,0.0076607895379324255,0.24208636492487956,0.19872134974533112,0.16000000000000003,0.012820971958600325,0.3439050283169338,0,0,0,1,0,0.804558020620374,0.5572527240777986,0.6324062360562387,0.07581668581597681,0.8751840027922272
0.6421052631578946,0.576923076923077,0.6074150877134302,0.02317607220849538,0.9978548096143532,0.6493506493506493,0.655563486088357,0.03506476989497652,0.02792120864410021,0.004372939361023213,0.0016272676128100886,0.21364452423698388,0.3805443548387098,0.16000000000000003,0.012820971958600325,0.308945540119998,0,0,0,1,0,0.8203134009989141,0.5391306630977982,0.6358125832336096,0.07625158940569252,0.8733710012141145
0.631578947368421,0.5538461538461539,0.5655685067812763,0.022885159168221314,0.9975135293257276,0.9350649350649352,0.6547312095954712,0.03766567024454384,0.01874163319946453,0.0013043651279088448,0.000697400405490038,0.44703770197486536,0.4475806451612904,0.16000000000000003,0.012820971958600325,0.565981334188204,0,0,0,1,0,0.8091380155920883,0.5775105337177799,0.62951510920266,0.0755315636480648,0.873817291101495
0.5973684210526315,0.55,0.5591885880562566,0.023079101195070728,0.9974403978353079,0.9610389610389611,0.6539140654024562,0.03950630741500687,0.16351118760757316,0.0035888464253763146,0.0009447280987612385,0.3913824057450629,0.29284274193548404,0.16000000000000003,0.012820971958600325,0.5102329864897274,0,0,0,1,1,0.7179839050489251,0.5779510193788778,0.6008737252045779,0.06184073968232581,0.6667243301001656
0.6921052631578947,0.5730769230769232,0.5867183972440086,0.03888537638329137,0.9971966262005753,0.7922077922077922,0.6526807829629979,0.039026141196625216,0.2505259131765156,0.002241739389321303,0.0005737365588544376,0.3087971274685819,0.3956653225806452,0.16000000000000003,0.012820971958600325,0.4215459972156258,0,0,0,1,1,0.6694584753023191,0.5147227126519098,0.5961812765557057,0.06055234502915958,0.5315570398228839
0.7368421052631579,0.42307692307692313,0.6008896767396357,0.022982130181646077,0.9969284774023695,0.8441558441558442,0.6516820511715353,0.03922621045428423,0.3239625167336011,0.001426695416740974,0.0008417633509187215,0.3464991023339318,0.564012096774194,0.16000000000000003,0.012820971958600325,0.46297861928683515,0,0,0,1,0,0.8053242742123184,0.5759520322200485,0.6391875848395226,0.0762207838248049,0.8606004996718857
0.5657894736842105,0.2884615384615385,0.38464471461779,0.028606448960276754,0.9984398615377115,0.7012987012987013,0.6625394763287262,0.03558494996488998,0.11225855804169059,0.001929281302183817,0.0007249992038808157,0.488330341113106,0.5367943548387097,0.16000000000000003,0.012820971958600325,0.6054847020999351,0,0,0,1,0,0.806867694254071,0.5959162554598322,0.6178751081699689,0.0716694631424392,0.8613015817162032
0.49473684210526314,0.28076923076923077,0.385410639329732,0.029382217067674077,0.9991955536053825,0.38961038961038963,0.5895790925023907,0.014577677910692338,0.006502199273283611,0.0012468846307467603,0.00029456409820926253,0.43985637342908435,0.3961693548387096,0.16000000000000003,0.012820971958600325,0.5589545444952061,0,0,0,1,0,0.7922960532638758,0.5902802257786719,0.6121801510098288,0.0700785167145656,0.8487872042798099
0.4710526315789473,0.3,0.3878522333896348,0.03306711557781139,0.9993905709131685,0.4155844155844156,0.6688496453747874,0.012256874521847642,0.0,0.001526917822049224,0.0009617119746940248,0.5798922800718134,0.5,0.16000000000000003,0.012820971958600325,0.6880448672724121,0,0,0,1,0,0.8047957770040943,0.5973645033106402,0.6205618102108749,0.06998835951339952,0.8510365356677527
0.5184210526315789,0.26153846153846155,0.36195126845828374,0.033939854698633476,0.9996830968748476,0.38961038961038963,0.6711951518547377,0.010096126539130175,0.0,0.0015711335890969816,0.00011623340091500636,0.6391382405745063,0.5453629032258065,0.16000000000000003,0.012820971958600325,0.7381570766304645,0,0,0,1,0,0.7963692955864907,0.576554552156194,0.6202559680971218,0.06919013792487448,0.8424820272688546
0.5289473684210526,0.2076923076923077,0.399401307757914,0.033358028618085345,0.9993661937496953,0.4025974025974026,0.6690614975729758,0.014897788722946774,0.0005737234652897304,0.0019174904309710815,0.0012440689120765973,0.4685816876122083,0.4712701612903228,0.16000000000000003,0.012820971958600325,0.5867798396135285,0,0,0,1,1,0.7060972631746887,0.5716721143152229,0.5976482349151266,0.05737694530715446,0.6385058820091657
