"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1009.3","1010.7","2018/06/01 22:33:00","1007.8","2018/06/01 15:35:00","27.1","30.7","2018/06/01 10:54:00","23.9","2018/06/01 23:56:00","79","70","2018/06/01 10:54:00","3.8","9","12.0","3","2018/06/01 14:08:00","0.0"
"02","1009.3","1010.6","2018/06/02 08:51:00","1007.5","2018/06/02 17:09:00","26.0","29.9","2018/06/02 12:11:00","22.9","2018/06/02 05:22:00","74","62","2018/06/02 10:53:00","3.6","18","10.9","354","2018/06/02 17:09:00","0.0"
"03","1007.9","1009.6","2018/06/03 07:21:00","1005.9","2018/06/03 16:11:00","27.4","32.4","2018/06/03 11:11:00","23.3","2018/06/03 03:32:00","79","61","2018/06/03 11:14:00","2.4","4","7.7","342","2018/06/03 13:22:00","0.0"
"04","1008.1","1009.4","2018/06/04 22:42:00","1006.5","2018/06/04 15:32:00","28.0","32.4","2018/06/04 10:45:00","24.5","2018/06/04 04:12:00","81","66","2018/06/04 12:53:00","1.9","338","7.5","1","2018/06/04 14:58:00","0.0"
"05","1008.5","1010.2","2018/06/05 09:34:00","1007.1","2018/06/05 14:36:00","29.2","34.1","2018/06/05 11:57:00","25.0","2018/06/05 03:23:00","77","57","2018/06/05 12:07:00","1.2","205","5.8","305","2018/06/05 14:30:00","0.0"
"06","1007.8","1009.0","2018/06/06 00:01:00","1006.1","2018/06/06 16:36:00","29.2","33.5","2018/06/06 11:51:00","25.4","2018/06/06 05:11:00","78","55","2018/06/06 09:01:00","2.2","9","8.0","28","2018/06/06 16:41:00","0.0"
"07","1006.0","1007.4","2018/06/07 00:01:00","1004.3","2018/06/07 14:54:00","28.8","32.1","2018/06/07 10:23:00","26.9","2018/06/07 23:59:00","84","68","2018/06/07 10:23:00","2.6","11","8.1","348","2018/06/07 12:45:00","0.0"
"08","1002.4","1005.2","2018/06/08 00:01:00","1000.5","2018/06/08 16:35:00","29.0","33.3","2018/06/08 13:21:00","24.9","2018/06/08 04:51:00","82","61","2018/06/08 11:53:00","1.5","66","7.2","10","2018/06/08 15:43:00","0.0"
"09","999.6","1001.1","2018/06/09 08:45:00","997.4","2018/06/09 15:43:00","29.0","33.6","2018/06/09 13:11:00","26.3","2018/06/09 05:31:00","81","64","2018/06/09 13:14:00","1.5","18","7.5","349","2018/06/09 16:18:00","0.0"
"10","999.3","1000.6","2018/06/10 08:35:00","997.8","2018/06/10 15:21:00","29.2","34.3","2018/06/10 11:37:00","26.3","2018/06/10 04:51:00","78","58","2018/06/10 11:37:00","1.4","193","6.4","15","2018/06/10 13:48:00","0.0"
"11","1000.2","1003.0","2018/06/11 22:31:00","997.6","2018/06/11 03:13:00","27.3","31.5","2018/06/11 14:26:00","25.0","2018/06/11 06:03:00","83","67","2018/06/11 14:21:00","2.7","14","10.9","4","2018/06/11 10:41:00","77.0"
"12","1002.0","1003.9","2018/06/12 09:11:00","1000.3","2018/06/12 17:21:00","28.2","33.4","2018/06/12 12:03:00","23.7","2018/06/12 03:46:00","70","49","2018/06/12 09:15:00","2.0","1","7.1","7","2018/06/12 14:57:00","0.0"
"13","998.6","1001.4","2018/06/13 00:02:00","996.4","2018/06/13 17:02:00","29.0","33.7","2018/06/13 10:44:00","24.7","2018/06/13 04:34:00","73","45","2018/06/13 10:53:00","1.2","344","7.1","337","2018/06/13 12:54:00","0.0"
"14","995.5","997.0","2018/06/14 00:01:00","993.5","2018/06/14 16:08:00","28.0","31.8","2018/06/14 10:55:00","26.1","2018/06/14 22:52:00","80","66","2018/06/14 10:41:00","3.2","21","13.6","9","2018/06/14 12:29:00","0.0"
"15","997.2","1002.1","2018/06/15 22:14:00","994.3","2018/06/15 04:34:00","26.4","30.0","2018/06/15 13:41:00","24.2","2018/06/15 04:13:00","81","63","2018/06/15 13:41:00","5.4","17","18.4","9","2018/06/15 09:33:00","7.0"
"16","1002.6","1004.7","2018/06/16 22:12:00","1000.6","2018/06/16 03:57:00","27.0","30.7","2018/06/16 09:54:00","24.3","2018/06/16 05:04:00","76","53","2018/06/16 09:24:00","3.2","9","8.8","41","2018/06/16 02:39:00","1.5"
"17","1003.4","1004.6","2018/06/17 09:16:00","1002.4","2018/06/17 16:08:00","27.1","32.0","2018/06/17 10:32:00","24.9","2018/06/17 03:21:00","88","67","2018/06/17 10:32:00","1.7","354","7.3","189","2018/06/17 17:53:00","17.5"
"18","1003.0","1004.6","2018/06/18 08:14:00","1001.8","2018/06/18 14:23:00","26.7","29.0","2018/06/18 10:51:00","25.1","2018/06/18 17:48:00","85","75","2018/06/18 23:14:00","2.8","176","14.4","186","2018/06/18 07:57:00","17.0"
"19","1005.0","1007.4","2018/06/19 21:51:00","1002.1","2018/06/19 01:48:00","25.3","27.1","2018/06/19 00:13:00","24.5","2018/06/19 09:57:00","92","75","2018/06/19 00:13:00","2.7","151","8.5","181","2018/06/19 02:08:00","29.5"
"20","1006.0","1008.1","2018/06/20 23:11:00","1004.6","2018/06/20 16:51:00","25.7","28.9","2018/06/20 16:22:00","24.4","2018/06/20 01:04:00","91","79","2018/06/20 17:08:00","2.2","144","6.9","161","2018/06/20 11:36:00","26.5"
